id,family,file,line,column,match,status,evidence_or_reason,source_line,file_sha256
V9-0035,button,Sailune/AbilityInspectorViews.swift,173,21,Button(,待共用,原生 Button；須按動作角色、位置、命中與資料 action 判定共用外殼或具名例外。,"Button(ability.name.isEmpty ? ""未命名能力"" : ability.name) { onOpen(ability) }",6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0036,button_style,Sailune/AbilityInspectorViews.swift,174,25,.buttonStyle(,待共用,原生樣式；需與同語意按鈕比對，不能只按 style 名稱批量替換。,.buttonStyle(.plain),6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0037,button,Sailune/AbilityInspectorViews.swift,176,21,Button(,待共用,原生 Button；須按動作角色、位置、命中與資料 action 判定共用外殼或具名例外。,"Button(SailuneActionCopy.delete, role: .destructive) { deleteTarget = ability }",6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0038,copy,Sailune/AbilityInspectorViews.swift,176,28,SailuneActionCopy.delete,已共用,使用或定義集中操作文案。,"Button(SailuneActionCopy.delete, role: .destructive) { deleteTarget = ability }",6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0039,button_style,Sailune/AbilityInspectorViews.swift,177,25,.buttonStyle(,待共用,原生樣式；需與同語意按鈕比對，不能只按 style 名稱批量替換。,.buttonStyle(.plain),6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0040,surface,Sailune/AbilityInspectorViews.swift,183,13,.background(,待共用,直接背景或色值；需判定表面用途與既有 token 是否相同。,.background(Color.workspacePanelBackground),6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0041,button,Sailune/AbilityInspectorViews.swift,184,13,Button(,待共用,原生 Button；須按動作角色、位置、命中與資料 action 判定共用外殼或具名例外。,"Button(""新增能力"", systemImage: SailuneSymbol.add.systemName, action: addAbility)",6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0042,copy,Sailune/AbilityInspectorViews.swift,184,13,"Button(""",待共用,直接 Button／Label／Menu 文案；需與同功能操作名稱及例外對照。,"Button(""新增能力"", systemImage: SailuneSymbol.add.systemName, action: addAbility)",6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0043,symbol,Sailune/AbilityInspectorViews.swift,184,41,SailuneSymbol.add,已共用,使用或定義語意圖標 key；原字形由集中表提供。,"Button(""新增能力"", systemImage: SailuneSymbol.add.systemName, action: addAbility)",6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0044,dialog,Sailune/AbilityInspectorViews.swift,187,9,.confirmationDialog(,待共用,原生呈現入口；需按確認、錯誤、取消及資料後果分組，僅呈現外殼可共用。,".confirmationDialog(""刪除能力？"", isPresented: Binding(",6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0045,button,Sailune/AbilityInspectorViews.swift,191,13,Button(,待共用,原生 Button；須按動作角色、位置、命中與資料 action 判定共用外殼或具名例外。,"Button(SailuneActionCopy.delete, role: .destructive) { delete(ability) }",6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0046,copy,Sailune/AbilityInspectorViews.swift,191,20,SailuneActionCopy.delete,已共用,使用或定義集中操作文案。,"Button(SailuneActionCopy.delete, role: .destructive) { delete(ability) }",6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0047,button,Sailune/AbilityInspectorViews.swift,192,13,Button(,待共用,原生 Button；須按動作角色、位置、命中與資料 action 判定共用外殼或具名例外。,"Button(SailuneActionCopy.cancel, role: .cancel) { deleteTarget = nil }",6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0048,copy,Sailune/AbilityInspectorViews.swift,192,20,SailuneActionCopy.cancel,已共用,使用或定義集中操作文案。,"Button(SailuneActionCopy.cancel, role: .cancel) { deleteTarget = nil }",6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0049,dialog,Sailune/AbilityInspectorViews.swift,194,9,.alert(,待共用,原生呈現入口；需按確認、錯誤、取消及資料後果分組，僅呈現外殼可共用。,".alert(""能力刪除未完成"", isPresented: Binding(",6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0050,button,Sailune/AbilityInspectorViews.swift,197,14,Button(,待共用,原生 Button；須按動作角色、位置、命中與資料 action 判定共用外殼或具名例外。,)) { Button(SailuneActionCopy.acknowledge) { deletionErrorMessage = nil } } message: {,6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0051,copy,Sailune/AbilityInspectorViews.swift,197,21,SailuneActionCopy.acknowledge,已共用,使用或定義集中操作文案。,)) { Button(SailuneActionCopy.acknowledge) { deletionErrorMessage = nil } } message: {,6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0052,dialog,Sailune/AbilityInspectorViews.swift,200,9,.alert(,待共用,原生呈現入口；需按確認、錯誤、取消及資料後果分組，僅呈現外殼可共用。,".alert(""能力建立未完成"", isPresented: Binding(",6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0053,button,Sailune/AbilityInspectorViews.swift,203,14,Button(,待共用,原生 Button；須按動作角色、位置、命中與資料 action 判定共用外殼或具名例外。,)) { Button(SailuneActionCopy.acknowledge) { creationErrorMessage = nil } } message: {,6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0054,copy,Sailune/AbilityInspectorViews.swift,203,21,SailuneActionCopy.acknowledge,已共用,使用或定義集中操作文案。,)) { Button(SailuneActionCopy.acknowledge) { creationErrorMessage = nil } } message: {,6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0055,failure_path,Sailune/AbilityInspectorViews.swift,216,15,catch,待共用,失敗分支或可選錯誤；需核對主要結果、次要錯誤記錄與恢復契約。,} catch {,6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0056,failure_path,Sailune/AbilityInspectorViews.swift,219,17,catch,待共用,失敗分支或可選錯誤；需核對主要結果、次要錯誤記錄與恢復契約。,catch {,6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0057,failure_path,Sailune/AbilityInspectorViews.swift,224,11,catch,待共用,失敗分支或可選錯誤；需核對主要結果、次要錯誤記錄與恢復契約。,} catch {,6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0058,failure_path,Sailune/AbilityInspectorViews.swift,237,11,catch,待共用,失敗分支或可選錯誤；需核對主要結果、次要錯誤記錄與恢復契約。,} catch {,6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0059,failure_path,Sailune/AbilityProgress.swift,63,11,catch,待共用,失敗分支或可選錯誤；需核對主要結果、次要錯誤記錄與恢復契約。,} catch {,055bd1ef7a6961e5ddc85a098162fad939b4ae21a92dd40f51748f80ab4ceeb1
V9-0060,failure_path,Sailune/AbilityProgress.swift,66,13,catch,待共用,失敗分支或可選錯誤；需核對主要結果、次要錯誤記錄與恢復契約。,"catch { Self.logger.error(""Reload after save rollback failed: \(String(describing: error), privacy: .private)"") }",055bd1ef7a6961e5ddc85a098162fad939b4ae21a92dd40f51748f80ab4ceeb1
V9-0061,failure_path,Sailune/AbilityProgress.swift,90,11,catch,待共用,失敗分支或可選錯誤；需核對主要結果、次要錯誤記錄與恢復契約。,} catch {,055bd1ef7a6961e5ddc85a098162fad939b4ae21a92dd40f51748f80ab4ceeb1
V9-0062,failure_path,Sailune/AbilityProgress.swift,93,13,catch,待共用,失敗分支或可選錯誤；需核對主要結果、次要錯誤記錄與恢復契約。,"catch { Self.logger.error(""Reload after link registration rollback failed: \(String(describing: error), privacy: .private)"") }",055bd1ef7a6961e5ddc85a098162fad939b4ae21a92dd40f51748f80ab4ceeb1
V9-0063,failure_path,Sailune/AbilityProgress.swift,149,11,catch,待共用,失敗分支或可選錯誤；需核對主要結果、次要錯誤記錄與恢復契約。,} catch {,055bd1ef7a6961e5ddc85a098162fad939b4ae21a92dd40f51748f80ab4ceeb1
V9-0064,failure_path,Sailune/AbilityProgress.swift,152,13,catch,待共用,失敗分支或可選錯誤；需核對主要結果、次要錯誤記錄與恢復契約。,"catch { Self.logger.error(""Reload after legacy migration rollback failed: \(String(describing: error), privacy: .private)"") }",055bd1ef7a6961e5ddc85a098162fad939b4ae21a92dd40f51748f80ab4ceeb1
V9-0065,failure_path,Sailune/AbilityProgress.swift,221,11,catch,待共用,失敗分支或可選錯誤；需核對主要結果、次要錯誤記錄與恢復契約。,} catch {,055bd1ef7a6961e5ddc85a098162fad939b4ae21a92dd40f51748f80ab4ceeb1
V9-0066,failure_path,Sailune/AbilityProgress.swift,224,13,catch,待共用,失敗分支或可選錯誤；需核對主要結果、次要錯誤記錄與恢復契約。,"catch { Self.logger.error(""Reload after reconciliation rollback failed: \(String(describing: error), privacy: .private)"") }",055bd1ef7a6961e5ddc85a098162fad939b4ae21a92dd40f51748f80ab4ceeb1
V9-0067,surface,Sailune/AppTheme.swift,29,13,.background(,待共用,直接背景或色值；需判定表面用途與既有 token 是否相同。,".background(.regularMaterial, in: shape)",5dc760cd502f88d290361912c154d4ea5623fcfd164fcaf65b7a95ac393e5b62
V9-0068,surface,Sailune/AppTheme.swift,31,35,Color.secondary.opacity(,待共用,直接背景或色值；需判定表面用途與既有 token 是否相同。,".overlay(shape.stroke(Color.secondary.opacity(0.14), lineWidth: 1))",5dc760cd502f88d290361912c154d4ea5623fcfd164fcaf65b7a95ac393e5b62
V9-0069,copy,Sailune/AuthorSettingsView.swift,49,17,"Text(""",合理例外,靜態欄名或領域內容；非可執行操作文案，保留畫面語境。,"Text(""筆名"")",1ebb214c482d902ed0ec1804e18ec991feecb8d53b614f1915e40e784ef99c6e
V9-0070,field,Sailune/AuthorSettingsView.swift,53,17,SailuneFormTextField(,已共用,引用或定義共用欄位；焦點、組字及內距仍需代表畫面驗收。,"SailuneFormTextField(title: ""請輸入您的筆名"", text: $bindableProfile.penName)",1ebb214c482d902ed0ec1804e18ec991feecb8d53b614f1915e40e784ef99c6e
V9-0071,copy,Sailune/AuthorSettingsView.swift,59,21,"Text(""",合理例外,靜態欄名或領域內容；非可執行操作文案，保留畫面語境。,"Text(""備份包含全部六個資料庫與書籍封面。還原會先驗證檔案並排程於下次啟動執行。"")",1ebb214c482d902ed0ec1804e18ec991feecb8d53b614f1915e40e784ef99c6e
V9-0072,button,Sailune/AuthorSettingsView.swift,63,25,Button(,待共用,原生 Button；須按動作角色、位置、命中與資料 action 判定共用外殼或具名例外。,"Button(""建立完整備份"", systemImage: ""externaldrive.badge.plus"") { createBackup() }",1ebb214c482d902ed0ec1804e18ec991feecb8d53b614f1915e40e784ef99c6e
V9-0073,copy,Sailune/AuthorSettingsView.swift,63,25,"Button(""",待共用,直接 Button／Label／Menu 文案；需與同功能操作名稱及例外對照。,"Button(""建立完整備份"", systemImage: ""externaldrive.badge.plus"") { createBackup() }",1ebb214c482d902ed0ec1804e18ec991feecb8d53b614f1915e40e784ef99c6e
V9-0074,symbol,Sailune/AuthorSettingsView.swift,63,42,"systemImage: ""externaldrive.badge.plus""",待共用,直接 SF Symbol 字串；須依實際操作或資料語意分類。,"Button(""建立完整備份"", systemImage: ""externaldrive.badge.plus"") { createBackup() }",1ebb214c482d902ed0ec1804e18ec991feecb8d53b614f1915e40e784ef99c6e
V9-0075,button,Sailune/AuthorSettingsView.swift,64,25,Button(,待共用,原生 Button；須按動作角色、位置、命中與資料 action 判定共用外殼或具名例外。,"Button(""從備份還原"", systemImage: ""arrow.counterclockwise"") { scheduleRestore() }",1ebb214c482d902ed0ec1804e18ec991feecb8d53b614f1915e40e784ef99c6e
V9-0076,copy,Sailune/AuthorSettingsView.swift,64,25,"Button(""",待共用,直接 Button／Label／Menu 文案；需與同功能操作名稱及例外對照。,"Button(""從備份還原"", systemImage: ""arrow.counterclockwise"") { scheduleRestore() }",1ebb214c482d902ed0ec1804e18ec991feecb8d53b614f1915e40e784ef99c6e
V9-0077,symbol,Sailune/AuthorSettingsView.swift,64,41,"systemImage: ""arrow.counterclockwise""",待共用,直接 SF Symbol 字串；須依實際操作或資料語意分類。,"Button(""從備份還原"", systemImage: ""arrow.counterclockwise"") { scheduleRestore() }",1ebb214c482d902ed0ec1804e18ec991feecb8d53b614f1915e40e784ef99c6e
V9-0078,copy,Sailune/AuthorSettingsView.swift,72,17,"Text(""",合理例外,靜態欄名或領域內容；非可執行操作文案，保留畫面語境。,"Text(""個人簡介"")",1ebb214c482d902ed0ec1804e18ec991feecb8d53b614f1915e40e784ef99c6e
V9-0079,editor,Sailune/AuthorSettingsView.swift,76,17,TextEditor(,待共用,原生多行編輯器；需核對 placeholder、內距、背景、組字與 Undo。,TextEditor(text: Binding(,1ebb214c482d902ed0ec1804e18ec991feecb8d53b614f1915e40e784ef99c6e
V9-0080,copy,Sailune/AuthorSettingsView.swift,89,25,"Text(""",合理例外,靜態欄名或領域內容；非可執行操作文案，保留畫面語境。,"Text(""一句話介紹自己... (選填)"")",1ebb214c482d902ed0ec1804e18ec991feecb8d53b614f1915e40e784ef99c6e
V9-0081,button,Sailune/AuthorSettingsView.swift,102,17,Button(,待共用,原生 Button；須按動作角色、位置、命中與資料 action 判定共用外殼或具名例外。,Button(SailuneActionCopy.done) {,1ebb214c482d902ed0ec1804e18ec991feecb8d53b614f1915e40e784ef99c6e
V9-0082,copy,Sailune/AuthorSettingsView.swift,102,24,SailuneActionCopy.done,已共用,使用或定義集中操作文案。,Button(SailuneActionCopy.done) {,1ebb214c482d902ed0ec1804e18ec991feecb8d53b614f1915e40e784ef99c6e
V9-0083,button_style,Sailune/AuthorSettingsView.swift,106,17,.buttonStyle(,待共用,原生樣式；需與同語意按鈕比對，不能只按 style 名稱批量替換。,.buttonStyle(.borderedProminent),1ebb214c482d902ed0ec1804e18ec991feecb8d53b614f1915e40e784ef99c6e
V9-0084,dialog,Sailune/AuthorSettingsView.swift,115,9,.alert(,待共用,原生呈現入口；需按確認、錯誤、取消及資料後果分組，僅呈現外殼可共用。,".alert(dataOperationFailed ? ""資料作業失敗"" : ""資料作業完成"", isPresented: Binding(",1ebb214c482d902ed0ec1804e18ec991feecb8d53b614f1915e40e784ef99c6e
V9-0085,button,Sailune/AuthorSettingsView.swift,119,13,Button(,待共用,原生 Button；須按動作角色、位置、命中與資料 action 判定共用外殼或具名例外。,Button(SailuneActionCopy.acknowledge) { dataOperationMessage = nil },1ebb214c482d902ed0ec1804e18ec991feecb8d53b614f1915e40e784ef99c6e
V9-0086,copy,Sailune/AuthorSettingsView.swift,119,20,SailuneActionCopy.acknowledge,已共用,使用或定義集中操作文案。,Button(SailuneActionCopy.acknowledge) { dataOperationMessage = nil },1ebb214c482d902ed0ec1804e18ec991feecb8d53b614f1915e40e784ef99c6e
V9-0087,surface,Sailune/AuthorSettingsView.swift,139,25,.background(,待共用,直接背景或色值；需判定表面用途與既有 token 是否相同。,.background(Color.accentColor.gradient) // 使用系統強調色,1ebb214c482d902ed0ec1804e18ec991feecb8d53b614f1915e40e784ef99c6e
V9-0088,copy,Sailune/AuthorSettingsView.swift,153,13,"Text(""",合理例外,靜態欄名或領域內容；非可執行操作文案，保留畫面語境。,"Text(""點擊頭像更換圖片"")",1ebb214c482d902ed0ec1804e18ec991feecb8d53b614f1915e40e784ef99c6e
V9-0089,failure_path,Sailune/AuthorSettingsView.swift,202,11,catch,待共用,失敗分支或可選錯誤；需核對主要結果、次要錯誤記錄與恢復契約。,} catch {,1ebb214c482d902ed0ec1804e18ec991feecb8d53b614f1915e40e784ef99c6e
V9-0090,failure_path,Sailune/AuthorSettingsView.swift,215,11,catch,待共用,失敗分支或可選錯誤；需核對主要結果、次要錯誤記錄與恢復契約。,} catch {,1ebb214c482d902ed0ec1804e18ec991feecb8d53b614f1915e40e784ef99c6e
V9-0091,button,Sailune/BeliefPresets.swift,310,33,Button(,待共用,原生 Button；須按動作角色、位置、命中與資料 action 判定共用外殼或具名例外。,"Button(""不選擇"") {",ed2cad0f8c1a715ea108b310a9334b423a1726a7aab1d909618f55aa9b258804
