file,sha256,reviewed_status,evidence_and_reason,disposition,verification_state
Sailune/CharacterDetailPreviewOrdering.swift,4668c15a0917ef065113764a2afff5684c30adfc10a8fca20f0be30ba56e02c0,合理例外,單一共用或純投影／匹配職責；頂層宣告：CharacterDetailPreviewOrdering,保持專責檔；對外呼叫在固定命中清單逐項審核。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/CharacterDetails.swift,355b925d842de670d2b64c46917548210a2055bde4871118ccfeac3e5efc7b0d,合理例外,"單一領域模型／引擎或簡短封裝；頂層宣告：CharacterProfile, CharacterAlias, Organization, CharacterOrganization, OrganizationIdentityHistory, CharacterAbility 等",保留領域專責；不因行數或檔名強制抽象。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/CharacterHistoryViews.swift,56d6e74db71d1f38bec544e5cd1377ee3ef4a4857210d7e3dc6c598330fbc43d,合理例外,"同一畫面或領域目錄的視圖集合；頂層宣告：CharacterTimelinePlacementEditor, CharacterNarrativePlacementSheet, CharacterTimelineDateSheet, CharacterNodePicker, CharacterTimestampEditorSheet 等",暫保留領域組合；若 callsite 審查證實跨職責重複，按既有 ID 提出分離。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/CharacterInspectorViews.swift,53392d39232ca4f3fa1347889338df8880f5a6dbf8f71c7e1dd8f25a04650f0a,待共用,角色清單、詳情與勢力成員呈現在同檔；檢查容器、詳情區塊與資料讀取邊界，勿只按行數拆分。,需要責任審查；只有確認同一檔存在可分離職責且保留外部行為時才分檔。,來源宣告與職責初審；跨檔依賴及行為驗收待完成
Sailune/CharacterReferenceSynchronizer.swift,f88ce55de3043629207e82f4028a7826d1e509414c8ee3ffdefdef1d8a00ed29,合理例外,"單一共用或純投影／匹配職責；頂層宣告：CharacterReferenceSynchronizer, UnlinkedReferenceCandidate",保持專責檔；對外呼叫在固定命中清單逐項審核。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/CharacterSectionViews.swift,58eec14ec8af957b5454c1847c579a59be5ab3a007273981dd7c44f45952277b,待共用,角色別名、能力、外觀、心理、物品、關係及事件共置；按既有角色分頁責任拆分候選，保留 AppearanceRow 既有行為。 V9.2am 已將 CharacterAppearanceSectionView 與 AppearanceRow 逐字搬至 CharacterAppearanceViews.swift；空狀態 helper 僅由 private 改為同模組可見。,外觀責任已分檔且 Debug build 通過；原檔仍有摘要、別名、能力、心理、物品、關係、事件，後續按各區塊依賴審查，仍列待共用。,V9.2am 主機無簽章 Debug build 通過；外觀實際 UI／資料操作及剩餘模組分離待驗收
Sailune/CharacterTimelineProjectionView.swift,fa8e28c540f43f632bb45afbd3eb884bd50733ce627ac426ab587b43ba759cd7,合理例外,"同一畫面或領域目錄的視圖集合；頂層宣告：CharacterTimelineProjectionView, EventProjectionRow",暫保留領域組合；若 callsite 審查證實跨職責重複，按既有 ID 提出分離。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/CompositionAwareTextField.swift,aa1a09c62884cc695fad6966532008425e5f507cba51c86844eaf62c13b2dccf,合理例外,單一領域模型／引擎或簡短封裝；頂層宣告：CompositionAwareTextField,保留領域專責；不因行數或檔名強制抽象。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/ContentView.swift,f4e24293d664b55531b3925bf2a7ea79d1585293db9784df175fed548f2dfd44,待共用,首頁導覽、帳戶、書卡、封面、刪除與新書 sheet 共置；先核對首頁 overlay 的取消和 Enter 契約，再按職責分檔。,需要責任審查；只有確認同一檔存在可分離職責且保留外部行為時才分檔。,來源宣告與職責初審；跨檔依賴及行為驗收待完成
Sailune/EditorSettingSelection.swift,6bc9c0cd89d12e0ae0167ec6b41c33113a78d91587d0e8fb313142254ce0d45b,合理例外,"單一共用或純投影／匹配職責；頂層宣告：EditorSettingsTarget, EditorSettingsNameCandidate, EditorSettingsMatcher, StoryTagMarkerDefinition",保持專責檔；對外呼叫在固定命中清單逐項審核。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/EditorWorkspaceView.swift,bd404a524632d306c4db3df7f7ef29dfe495e23d36307a8d8f5dff0b912ecffb,待共用,編輯工作區、指令面板、快捷鍵、側欄及標記提示共置；核對鍵盤監聽生命週期和共享工作區狀態後分離。,需要責任審查；只有確認同一檔存在可分離職責且保留外部行為時才分檔。,來源宣告與職責初審；跨檔依賴及行為驗收待完成
Sailune/EpubExporter.swift,910f533ad4c262279dd620e727c2fc1c64202d4a6fd798c852d3672691965330,合理例外,"同一資料或服務責任；頂層宣告：EpubExporter, ZipBuilder, Data",保留專責服務；錯誤出口及跨 Store 行為依固定 failure_path ID 核對。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/Era.swift,e0ccead848a5e1c9f7ab902403b2489ee343992d7c4d156e5975cb106e82447c,合理例外,單一領域模型／引擎或簡短封裝；頂層宣告：Era,保留領域專責；不因行數或檔名強制抽象。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/Event.swift,7f5ffa3a65aa876aedb65f10b7b5ee6c15e55deb16487a4f45955e11adcd20ee,合理例外,單一領域模型／引擎或簡短封裝；頂層宣告：Event,保留領域專責；不因行數或檔名強制抽象。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/ExportManager.swift,4ac466ab5e47a20e0e8e602369eb333742f10158607ca9fb568049886ac9b54e,合理例外,"同一資料或服務責任；頂層宣告：SailuneExportDocument, SailuneExportRequest, SailuneFileExporterModifier, View, ExportManager",保留專責服務；錯誤出口及跨 Store 行為依固定 failure_path ID 核對。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/GovernmentPresets.swift,fe0f7bc3e3ec71d2f48ce0d68a1add965a17ad41fb236c30d88dc1c62aef9291,合理例外,"同一畫面或領域目錄的視圖集合；頂層宣告：GovernmentPresetSection, GovernmentPreset, GovernmentPresetCatalogView, GovernmentPresetDetailView",暫保留領域組合；若 callsite 審查證實跨職責重複，按既有 ID 提出分離。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/InspectorViews.swift,430b203b9737a6bb6eda3292e9b83e40d44dc61523494b511cd7d22d5f393f81,合理例外,"同一畫面或領域目錄的視圖集合；頂層宣告：InspectorLinkedEntry, InspectorLinkedItemsRow, InspectorRoute, InspectorCategorySelection, InspectorRootView",暫保留領域組合；若 callsite 審查證實跨職責重複，按既有 ID 提出分離。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/Item.swift,29249a9223a3984a876a1753ec802b96b6a3b9dd66e1d7980699d9e1c31c89de,合理例外,"單一領域模型／引擎或簡短封裝；頂層宣告：Item, ItemHistory",保留領域專責；不因行數或檔名強制抽象。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/ItemCopy.swift,950b9b353f76f19c702d21ad1187c007fbd4873d30c7670749c10138a97d7dd2,合理例外,"版本化資料契約／修復專責；頂層宣告：ItemCopySchemaV1, ItemCopyLevelSelectionSchemaV1, ItemCopy, ItemCopyHolding 等",保留 schema／遷移／修復佈局，除非有獨立相容性證據；不可為縮檔改資料。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/ItemInspectorViews.swift,6fc013c4a9382a0b51bf80c993c8cc9aae553284054115f9c42ba99b96131ca3,合理例外,"同一畫面或領域目錄的視圖集合；頂層宣告：ItemListContainerView, ItemReferenceRow, ItemDetailView, ItemCopyDetailView, ItemLevelEditor 等",暫保留領域組合；若 callsite 審查證實跨職責重複，按既有 ID 提出分離。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/ItemLevel.swift,4063bdff1e8596854120c26a54f14664c7e50b662f92293dae58652c50ec87fc,合理例外,"單一領域模型／引擎或簡短封裝；頂層宣告：ItemLevel, ItemLevel",保留領域專責；不因行數或檔名強制抽象。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/KinshipGraphViews.swift,63ae8cfb25e41529d153022214466ea9ed4187a8b77f3058c618852f54e50754,合理例外,"同一畫面或領域目錄的視圖集合；頂層宣告：KinshipGraphView, AddKinshipSheet",暫保留領域組合；若 callsite 審查證實跨職責重複，按既有 ID 提出分離。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/KinshipRelation.swift,5674b75db85049ba833a462af096cab7bf894e514974db2288c7314f832c1a69,合理例外,單一領域模型／引擎或簡短封裝；頂層宣告：KinshipRelation,保留領域專責；不因行數或檔名強制抽象。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/KinshipRole.swift,aa0f0713d2ca23864fb6743563de41ef9175f5e95fc05adc5960c8258db8f7b0,合理例外,單一領域模型／引擎或簡短封裝；頂層宣告：KinshipRole,保留領域專責；不因行數或檔名強制抽象。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/MapCatalog.swift,4438fe4e7c973a387b2457886bfbd78250ce60f6b76e20ca63364a41107bd6ea,合理例外,"同一資料或服務責任；頂層宣告：MapLevel, MapCatalogError, MapMarkerRecord, V5SettingsStore",保留專責服務；錯誤出口及跨 Store 行為依固定 failure_path ID 核對。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/MapCoordinate.swift,b8f831212b7b9a7adcfea57de21b36236368cc23001f647793c72c7fa70b1f8a,合理例外,"單一共用或純投影／匹配職責；頂層宣告：MapCoordinate, MapCoordinateInput, MapCoordinateTransform, MapViewport, MapMarkerPresentation",保持專責檔；對外呼叫在固定命中清單逐項審核。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/MapManagementViews.swift,7bdf25436b3024700112a84b88eb6ff7ae7be21ed82b2cbfed3873e5f6354242,合理例外,"同一畫面或領域目錄的視圖集合；頂層宣告：MapNameOperation, MapManagementView, MapVersionManagementView",暫保留領域組合；若 callsite 審查證實跨職責重複，按既有 ID 提出分離。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/MapPDFGenerator.swift,16b10535906fa590532f0af7a624d353f8b7fab5f045bde20fa8d45545fc970a,合理例外,"單一領域模型／引擎或簡短封裝；頂層宣告：MapTemplateStyle, MapPDFGenerator",保留領域專責；不因行數或檔名強制抽象。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/MapViews.swift,c316e3276f6d98cbfab799c388f8c451696a8b7548f7a6f89a7dd38fc94271a3,待共用,地圖工作區、標記、座標層、編輯器與 PDF 檢視共置；將互動、座標投影及呈現責任逐一核對。,需要責任審查；只有確認同一檔存在可分離職責且保留外部行為時才分檔。,來源宣告與職責初審；跨檔依賴及行為驗收待完成
Sailune/MigrationPlan.swift,dd9cc7bf2ba0ddf9376001d01b2e306db3462b56c792a0d0a661478fb9181570,合理例外,"版本化資料契約／修復專責；頂層宣告：NovelWriterSchemaV1, NovelWriterSchemaV2, NovelWriterSchemaV3, NovelWriterSchemaV5 等",保留 schema／遷移／修復佈局，除非有獨立相容性證據；不可為縮檔改資料。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/Node.swift,e85267705f2e8678783aff573d429d7209428da8ec9513b8aef4bb670a82d17c,合理例外,單一領域模型／引擎或簡短封裝；頂層宣告：Node,保留領域專責；不因行數或檔名強制抽象。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/OutlineViews.swift,7dee612429744ad9c1c90e2cb302e0e798fcbdc268ba005248cb258c33a9a816,待共用,故事規劃、背景、時間線／列表、卡片與編輯 sheet 共置；先確認共用排版及操作外殼，再分離互不依賴的視圖。,需要責任審查；只有確認同一檔存在可分離職責且保留外部行為時才分檔。,來源宣告與職責初審；跨檔依賴及行為驗收待完成
Sailune/PeoplePresets.swift,db97455b03a8debb1bb7c53b765ccb071f35bb19128ed4c15db144de7b45c245,合理例外,"同一畫面或領域目錄的視圖集合；頂層宣告：PeoplePresetGroup, PeoplePresetSection, PeoplePreset, PeoplePresetCatalogView, PeoplePresetDetailView",暫保留領域組合；若 callsite 審查證實跨職責重複，按既有 ID 提出分離。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/PersistentStoreRepair.swift,f59881ee1abd4b3abd7a2b8343c3984bc8b58526b7c4e9d230d697cecac4d579,合理例外,"版本化資料契約／修復專責；頂層宣告：StoreUUIDModel, Book, Volume, Section 等",保留 schema／遷移／修復佈局，除非有獨立相容性證據；不可為縮檔改資料。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/PlaceWorldTermViews.swift,0a25cf4b459a12e8f18652c71587311873632d52c60684b2d214339a114af272,合理例外,"同一畫面或領域目錄的視圖集合；頂層宣告：PlaceListView, WorldTermListView, PlaceDetailView, WorldTermDetailView",暫保留領域組合；若 callsite 審查證實跨職責重複，按既有 ID 提出分離。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/PlanningRecordProjection.swift,3fcd4ab8903768e44ab3babff15f6a6e90d95f3362aa314afa3b5c938974e9c8,合理例外,"單一共用或純投影／匹配職責；頂層宣告：PlanningRecordSourceReference, PlanningRecordProjection, PlanningRecordProjectionBuilder",保持專責檔；對外呼叫在固定命中清單逐項審核。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/PowerHierarchyStore.swift,7185ceb5da831c4d1294419f5fc459dc69298910550635699fa1df2ed85bef9f,合理例外,"同一資料或服務責任；頂層宣告：PowerHierarchyError, PowerHierarchyStore, PowerGraphStore",保留專責服務；錯誤出口及跨 Store 行為依固定 failure_path ID 核對。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/PowerSettingViews.swift,2ed25ab6ef5b7d1eace8025cae8f8abf6743d16b6ba63a4db4fd90abdb40d592,待共用,勢力清單、層級管理、詳情及關係編輯共置；核對 Store 寫入與畫面呈現邊界。,需要責任審查；只有確認同一檔存在可分離職責且保留外部行為時才分檔。,來源宣告與職責初審；跨檔依賴及行為驗收待完成
Sailune/RelationshipWorkspaceViews.swift,fb28f20179e9b6ed4921809e18f81d8cd750c3ba13210a4ea74c394701996c1b,合理例外,"同一畫面或領域目錄的視圖集合；頂層宣告：CharacterSearchMatcher, RelationshipGroup, RelationshipGroupBuilder, RelationshipListView, RelationshipDetailSheet 等",暫保留領域組合；若 callsite 審查證實跨職責重複，按既有 ID 提出分離。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/ResourcePresets.swift,0bdb48201914c480b6a98437099a1cf98fef3d9c81d49fd5628eaa6ac2181e96,合理例外,"同一畫面或領域目錄的視圖集合；頂層宣告：ResourcePresetGroup, ResourcePresetSection, ResourcePreset, ResourcePresetCatalogView, ResourcePresetDetailView",暫保留領域組合；若 callsite 審查證實跨職責重複，按既有 ID 提出分離。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/RichEditorView.swift,ea63ad64a1a5ede96977fd4fed9b103be68c6d397591610a105983d25cf7fd91,待共用,AppKit 文字檢視、組字、參照連結、Undo 與 SwiftUI bridge 共置；需沿編輯器狀態／AppKit bridge 邊界審查，不能機械拆分。,需要責任審查；只有確認同一檔存在可分離職責且保留外部行為時才分檔。,來源宣告與職責初審；跨檔依賴及行為驗收待完成
Sailune/SailuneAIAnalysisContext.swift,d9ab28ac5b7da414f5784ca19dd120cf4643bcfeec78b852e3e653188c399bf2,合理例外,"同一資料或服務責任；頂層宣告：SailuneAIAnalysisContextError, SailuneAIAnalysisContextBuilder, SailuneAIReadingScope, SailuneAIAnalysisContextBuilder",保留專責服務；錯誤出口及跨 Store 行為依固定 failure_path ID 核對。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/SailuneAICharacterContext.swift,454e906224a7585be8f4c76adfb7023d59cf8f2253a520c5782bd0e9104e99d1,合理例外,"同一資料或服務責任；頂層宣告：SailuneAICharacterContextError, SailuneAICharacterContextBuilder",保留專責服務；錯誤出口及跨 Store 行為依固定 failure_path ID 核對。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/SailuneAIChatSidebarView.swift,43ac3e02880bdd63f93c8ae6f5b28e6d86be3f4d9a327c5792574d58de6a28b8,合理例外,同一畫面或領域目錄的視圖集合；頂層宣告：SailuneAIChatSidebarView,暫保留領域組合；若 callsite 審查證實跨職責重複，按既有 ID 提出分離。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/SailuneAIChatViewModel.swift,9c6775583e5b1d90706d50d1d2304e950707242f814aa9b2912926d35ebc093e,合理例外,同一資料或服務責任；頂層宣告：SailuneAIChatViewModel,保留專責服務；錯誤出口及跨 Store 行為依固定 failure_path ID 核對。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/SailuneAIClient.swift,47ae9ff079dafcdf7c0dfe3b9f62623e9fcd2ccdc425649761788ab32c98b274,合理例外,"同一資料或服務責任；頂層宣告：SailuneAIClientError, SailuneAIClient",保留專責服務；錯誤出口及跨 Store 行為依固定 failure_path ID 核對。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/SailuneAIConversationStore.swift,21127c800122937bd254b58ceea0aa61e73aa270eb442f5ba717864c746217d6,合理例外,"同一資料或服務責任；頂層宣告：SailuneAIConversation, SailuneAIConversationArchive, SailuneAIConversationStore",保留專責服務；錯誤出口及跨 Store 行為依固定 failure_path ID 核對。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/SailuneAIModels.swift,bd2f23c91b546ab9914a0eba1b98548b33a7beba4c6c9e917c821a5765f36d0a,合理例外,"單一共用或純投影／匹配職責；頂層宣告：SailuneAISectionAttachment, SailuneAIReadingScope, SailuneAISettingKind, SailuneAISettingDimension, SailuneAISettingAnalysisSelection 等",保持專責檔；對外呼叫在固定命中清單逐項審核。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/SailuneAISettings.swift,baaee5585019b2615cb87abffdfc462ab3e2dfe20c98dbadc57b442e913f545e,合理例外,"單一領域模型／引擎或簡短封裝；頂層宣告：SailuneAIProvider, SailuneAISettings, SailuneAISettingsError, SailuneAISettingsStore",保留領域專責；不因行數或檔名強制抽象。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/SailuneApp.swift,7ce22a314eced61a7d92c61634baa347ab0250e679f7b7595eb7a92bb9b2ab03,合理例外,"單一領域模型／引擎或簡短封裝；頂層宣告：SailuneApp, SailuneRootView, DatabaseStartupFailureView, V5DataBackfill, V4DataBackfill",保留領域專責；不因行數或檔名強制抽象。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/SailuneBackupService.swift,9701dacb026dee2ef8da942a15dca525085112458e5b81e2874ef1a986d617aa,合理例外,"同一資料或服務責任；頂層宣告：SailuneDataLocations, SailuneBackupService",保留專責服務；錯誤出口及跨 Store 行為依固定 failure_path ID 核對。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/SearchReplaceView.swift,8d161363efa94c3cf09faef3ef2d082c9298fac6a022120c3a1914db42d327f3,合理例外,"同一畫面或領域目錄的視圖集合；頂層宣告：Notification, SearchScope, SearchMatch, SearchReplaceView",暫保留領域組合；若 callsite 審查證實跨職責重複，按既有 ID 提出分離。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/Section.swift,30b96d0b7aef6663da3b50c61fd993e8593ede97a476a5a6398e9990f412e4b5,合理例外,單一領域模型／引擎或簡短封裝；頂層宣告：Section,保留領域專責；不因行數或檔名強制抽象。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/SharedUI/PlanningActionStyle.swift,d470420df7a631508efa875698878f4b9eb85dda8c9bd7e1a8be70f1f556aef3,已共用,共用 UI 基礎實作；頂層宣告：PlanningActionStyle,保留共用元件定義；後續檢查呼叫點採用與契約。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/SharedUI/SailuneUIFoundation.swift,42f6e2cb02db140e8244f1032cdeb58b3ead233bd4bb0dc18280ed5c1568e17b,已共用,"共用 UI 基礎實作；頂層宣告：SailuneLayout, SailuneTheme, SailuneSymbol, SailuneActionCopy, SailuneIconButton, InsetTextEditor 等",保留共用元件定義；後續檢查呼叫點採用與契約。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/SidebarSettingCatalog.swift,8d05705334d3e96e97eadfe684db27319075c75150e5856a34e604f6858b623f,合理例外,單一共用或純投影／匹配職責；頂層宣告：SidebarSettingCatalog,保持專責檔；對外呼叫在固定命中清單逐項審核。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/SidebarSettingsManagerView.swift,68c8e5c392a6ceae67cc846af158633cf8353922b631d5c85a57f0d07c9e0a73,合理例外,同一畫面或領域目錄的視圖集合；頂層宣告：SidebarSettingsManagerView,暫保留領域組合；若 callsite 審查證實跨職責重複，按既有 ID 提出分離。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/StoryTag.swift,74ede2875b28ff801a7fbdfff8b35790e2f3aa12ac09f742c3cff1dbbdb82081,待共用,故事標記模型、正文錨點解析、Undo、規劃 Store 與大綱模型共置；核對資料及匯出相容性後分離演算法與持久化。,需要責任審查；只有確認同一檔存在可分離職責且保留外部行為時才分檔。,來源宣告與職責初審；跨檔依賴及行為驗收待完成
Sailune/StoryTagViews.swift,33d051e84a1d02fc895ccfcedd31d28105275daa56e7fc9492464a88d3364207,合理例外,同一畫面或領域目錄的視圖集合；頂層宣告：StoryTagListView,暫保留領域組合；若 callsite 審查證實跨職責重複，按既有 ID 提出分離。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/TechnologyPresets.swift,c9fb60bef8a13a413b4f8f6813384f03a286ab9ebefb37391e0166b1850d3dca,合理例外,"同一畫面或領域目錄的視圖集合；頂層宣告：TechnologyPresetSection, TechnologyPreset, TechnologyPresetCatalogView, TechnologyPresetRow, TechnologyPresetDetailView",暫保留領域組合；若 callsite 審查證實跨職責重複，按既有 ID 提出分離。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/Timeline.swift,a8d0b57a1eb24a7d5831dfe1e90ca3c37acb55c0529fa4c3dc485defb403174f,合理例外,單一領域模型／引擎或簡短封裝；頂層宣告：Timeline,保留領域專責；不因行數或檔名強制抽象。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/TimelineCardProjection.swift,5558ca47c02e1fbd4d4a97eee399e9625961591e59574fc1cf567f2ee7048037,合理例外,"單一共用或純投影／匹配職責；頂層宣告：TimelineCardPresentation, TimelineCardProjection",保持專責檔；對外呼叫在固定命中清單逐項審核。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/TimelineDateProjection.swift,945119af0c1a6ab7ac9f603ff59ed44f4da38adca3b4c7dfb42148709c2e2e25,合理例外,"單一共用或純投影／匹配職責；頂層宣告：CellKind, TimelineCell, TimelineEraGroup, TimelineSlot, CellAccum 等",保持專責檔；對外呼叫在固定命中清單逐項審核。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/TimelineEngine.swift,76377904327c6772adeeec08e65676b715928433b4ec83f95847ebbdd5cb319c,合理例外,單一領域模型／引擎或簡短封裝；頂層宣告：TimelineEngine,保留領域專責；不因行數或檔名強制抽象。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
