id,reviewed_status,evidence_and_disposition,work_item,verification_state
V9-0028,已共用,"背景引用已命名的 theme／AppTheme 色彩來源；用途與 Light／Dark 對照仍需畫面驗收。 凍結來源：.padding(8).background(SailuneTheme.subtleSurface, in: RoundedRectangle(cornerRadius: 7))",docs/work-items/v9-frozen-inventory.md,來源色彩用途已分類；Light／Dark 與 hit-testing 待驗收
V9-0029,合理例外,"來源以 SwiftUI 原生 Button 的標題參數承載文字或文字加圖標；保留原生角色／焦點／可用狀態，文案與圖標分別由固定 copy／symbol ID 審核，不為此控制另造相同 Button 外殼。來源：Button(""新增等級"", systemImage: SailuneSymbol.add.systemName) {",docs/work-items/v9-frozen-inventory.md,來源原生標題按鈕已核對；位置／實際 hit-test／鍵盤與 Light／Dark 待驗收
V9-0030,已共用,"V9.1ao 已依凍結 ID 將原操作標題接至 SailuneActionCopy，原繁體中文值、closure、role、style 及圖標不變；現行來源：Button(SailuneActionCopy.addLevel, systemImage: SailuneSymbol.add.systemName) {",docs/work-items/v9.1ao-repeated-action-copy.md,65 個固定 ID 靜態核對、String Catalog JSON 及主機無簽章 Debug build 通過；GUI／VoiceOver 待驗收
V9-0031,已共用,來源已讀取 SailuneSymbol 語意 key；同功能字形是否一致依集中表與畫面驗收。,docs/work-items/v9-frozen-inventory.md,來源語意已複核；字形與輔助功能畫面驗收待完成
V9-0032,待共用,原生 .borderless 樣式常見於圖標／整列控制；需與對應 Button ID 一起核對角色、28 pt 命中及是否需具名共用 variant。,docs/work-items/v9-frozen-inventory.md,來源 style 已核對；實際 hit-test／Light／Dark 待驗收
V9-0033,合理例外,"catch 呼叫領域錯誤回報 callback；此處是領域失敗處理，不宜僅為共用化抽成統一資料 action。來源分支：modelContext.rollback() presentDeletionMessage(""能力未刪除。\n\n\(error.localizedDescription)"")",docs/work-items/v9-frozen-inventory.md,來源分支已複核；故障注入或 GUI 呈現仍待相關驗收
V9-0034,已共用,來源已引用共用單行／搜尋欄位或位於其實作；原 Binding 與外層行為仍須依畫面核對。,docs/work-items/v9-frozen-inventory.md,來源分類已複核；具體 UI／資料驗收待完成
V9-0035,合理例外,"來源以 SwiftUI 原生 Button 的標題參數承載文字或文字加圖標；保留原生角色／焦點／可用狀態，文案與圖標分別由固定 copy／symbol ID 審核，不為此控制另造相同 Button 外殼。來源：Button(ability.name.isEmpty ? ""未命名能力"" : ability.name) { onOpen(ability) }",docs/work-items/v9-frozen-inventory.md,來源原生標題按鈕已核對；位置／實際 hit-test／鍵盤與 Light／Dark 待驗收
V9-0036,待共用,原生 .plain 樣式常見於圖標／整列控制；需與對應 Button ID 一起核對角色、28 pt 命中及是否需具名共用 variant。,docs/work-items/v9-frozen-inventory.md,來源 style 已核對；實際 hit-test／Light／Dark 待驗收
V9-0037,合理例外,"來源以 SwiftUI 原生 Button 的標題參數承載文字或文字加圖標；保留原生角色／焦點／可用狀態，文案與圖標分別由固定 copy／symbol ID 審核，不為此控制另造相同 Button 外殼。來源：Button(SailuneActionCopy.delete, role: .destructive) { deleteTarget = ability }",docs/work-items/v9-frozen-inventory.md,來源原生標題按鈕已核對；位置／實際 hit-test／鍵盤與 Light／Dark 待驗收
V9-0038,已共用,已讀取 SailuneActionCopy 或位於其實作；原中文值由集中資源提供。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0039,待共用,原生 .plain 樣式常見於圖標／整列控制；需與對應 Button ID 一起核對角色、28 pt 命中及是否需具名共用 variant。,docs/work-items/v9-frozen-inventory.md,來源 style 已核對；實際 hit-test／Light／Dark 待驗收
V9-0040,已共用,背景引用已命名的 theme／AppTheme 色彩來源；用途與 Light／Dark 對照仍需畫面驗收。 凍結來源：.background(Color.workspacePanelBackground),docs/work-items/v9-frozen-inventory.md,來源色彩用途已分類；Light／Dark 與 hit-testing 待驗收
V9-0041,合理例外,"來源以 SwiftUI 原生 Button 的標題參數承載文字或文字加圖標；保留原生角色／焦點／可用狀態，文案與圖標分別由固定 copy／symbol ID 審核，不為此控制另造相同 Button 外殼。來源：Button(""新增能力"", systemImage: SailuneSymbol.add.systemName, action: addAbility)",docs/work-items/v9-frozen-inventory.md,來源原生標題按鈕已核對；位置／實際 hit-test／鍵盤與 Light／Dark 待驗收
V9-0042,合理例外,目前固定清單中僅此處使用的領域文案「新增能力」；沒有同功能重複證據，保留具名畫面語境。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0043,已共用,來源已讀取 SailuneSymbol 語意 key；同功能字形是否一致依集中表與畫面驗收。,docs/work-items/v9-frozen-inventory.md,來源語意已複核；字形與輔助功能畫面驗收待完成
V9-0044,待共用,"確認流程候選；需核對標題、破壞後果、取消、預設角色及 Store action，僅呈現外殼可共用。 凍結來源：.confirmationDialog(""刪除能力？"", isPresented: Binding(",docs/work-items/v9-frozen-inventory.md,來源呈現類型已核對；失敗／取消／GUI 待驗收
V9-0045,合理例外,"來源以 SwiftUI 原生 Button 的標題參數承載文字或文字加圖標；保留原生角色／焦點／可用狀態，文案與圖標分別由固定 copy／symbol ID 審核，不為此控制另造相同 Button 外殼。來源：Button(SailuneActionCopy.delete, role: .destructive) { delete(ability) }",docs/work-items/v9-frozen-inventory.md,來源原生標題按鈕已核對；位置／實際 hit-test／鍵盤與 Light／Dark 待驗收
V9-0046,已共用,已讀取 SailuneActionCopy 或位於其實作；原中文值由集中資源提供。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0047,合理例外,"原生文字 Button；已使用 SailuneActionCopy 共用標題。保留 macOS 原生控制以承載此處 action；對應 button_style／copy ID 仍獨立審核，位置與實際命中須畫面驗收。凍結來源：Button(SailuneActionCopy.cancel, role: .cancel) { deleteTarget = nil }",docs/work-items/v9-frozen-inventory.md,來源確認為文字 Button；位置／鍵盤焦點／實際命中及 Light／Dark 待驗收
V9-0048,已共用,已讀取 SailuneActionCopy 或位於其實作；原中文值由集中資源提供。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0049,合理例外,"領域錯誤／結果標題與狀態綁定由原畫面提供，確認按鈕已讀取 SailuneActionCopy.acknowledge，系統 .alert 提供共同呈現；保留領域內容與原 action。凍結來源：.alert(""能力刪除未完成"", isPresented: Binding(",docs/work-items/v9-frozen-inventory.md,來源確認共用確認文案；實際錯誤呈現與鍵盤／VoiceOver 待驗收
V9-0050,合理例外,原生文字 Button；已使用 SailuneActionCopy 共用標題。保留 macOS 原生控制以承載此處 action；對應 button_style／copy ID 仍獨立審核，位置與實際命中須畫面驗收。凍結來源：)) { Button(SailuneActionCopy.acknowledge) { deletionErrorMessage = nil } } message: {,docs/work-items/v9-frozen-inventory.md,來源確認為文字 Button；位置／鍵盤焦點／實際命中及 Light／Dark 待驗收
V9-0051,已共用,已讀取 SailuneActionCopy 或位於其實作；原中文值由集中資源提供。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0052,合理例外,"領域錯誤／結果標題與狀態綁定由原畫面提供，確認按鈕已讀取 SailuneActionCopy.acknowledge，系統 .alert 提供共同呈現；保留領域內容與原 action。凍結來源：.alert(""能力建立未完成"", isPresented: Binding(",docs/work-items/v9-frozen-inventory.md,來源確認共用確認文案；實際錯誤呈現與鍵盤／VoiceOver 待驗收
V9-0053,合理例外,原生文字 Button；已使用 SailuneActionCopy 共用標題。保留 macOS 原生控制以承載此處 action；對應 button_style／copy ID 仍獨立審核，位置與實際命中須畫面驗收。凍結來源：)) { Button(SailuneActionCopy.acknowledge) { creationErrorMessage = nil } } message: {,docs/work-items/v9-frozen-inventory.md,來源確認為文字 Button；位置／鍵盤焦點／實際命中及 Light／Dark 待驗收
V9-0054,已共用,已讀取 SailuneActionCopy 或位於其實作；原中文值由集中資源提供。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0055,合理例外,"catch 明確向上拋出領域／原錯誤，保留呼叫端決策；此處是領域失敗處理，不宜僅為共用化抽成統一資料 action。來源分支：modelContext.delete(ability) do { try modelContext.save() } catch { abilityCreationLogger.error(""Compensating ability save failed; registration error remains primary: \(String(describing: error), privacy: .private)"") } throw error",docs/work-items/v9-frozen-inventory.md,來源分支已複核；故障注入或 GUI 呈現仍待相關驗收
V9-0056,合理例外,"catch 明確記錄診斷或 Store 錯誤，保留原操作結果；此處是領域失敗處理，不宜僅為共用化抽成統一資料 action。來源分支：abilityCreationLogger.error(""Compensating ability save failed; registration error remains primary: \(String(describing: error), privacy: .private)"")",docs/work-items/v9-frozen-inventory.md,來源分支已複核；故障注入或 GUI 呈現仍待相關驗收
V9-0057,合理例外,catch 明確設定錯誤呈現／狀態，保留領域提示；此處是領域失敗處理，不宜僅為共用化抽成統一資料 action。來源分支：modelContext.rollback() creationErrorMessage = error.localizedDescription,docs/work-items/v9-frozen-inventory.md,來源分支已複核；故障注入或 GUI 呈現仍待相關驗收
V9-0058,合理例外,catch 明確設定錯誤呈現／狀態，保留領域提示；此處是領域失敗處理，不宜僅為共用化抽成統一資料 action。來源分支：modelContext.rollback() deletionErrorMessage = error.localizedDescription,docs/work-items/v9-frozen-inventory.md,來源分支已複核；故障注入或 GUI 呈現仍待相關驗收
V9-0059,合理例外,"catch 明確記錄診斷或 Store 錯誤，保留原操作結果；此處是領域失敗處理，不宜僅為共用化抽成統一資料 action。來源分支：context.rollback() do { try reload() } catch { Self.logger.error(""Reload after save rollback failed: \(String(describing: error), privacy: .private)"") } let nsError = error as NSError persistenceErrorMessage = ""\(nsError.domain) \(nsError.code)：\(nsError.localizedDescription)""",docs/work-items/v9-frozen-inventory.md,來源分支已複核；故障注入或 GUI 呈現仍待相關驗收
V9-0060,合理例外,"領域 catch 在同一來源行明確顯示錯誤、拋出具名錯誤或 private 記錄；其資料結果依原領域契約保留，沒有共用 catch 外殼的必要。原語句：catch { Self.logger.error(""Reload after save rollback failed: \(String(describing: error), privacy: .private)"") }",docs/work-items/v9-frozen-inventory.md,來源已見明確錯誤出口；故障注入與 GUI 呈現尚待驗收
V9-0061,合理例外,"catch 明確向上拋出領域／原錯誤，保留呼叫端決策；此處是領域失敗處理，不宜僅為共用化抽成統一資料 action。來源分支：context.rollback() do { try reload() } catch { Self.logger.error(""Reload after link registration rollback failed: \(String(describing: error), privacy: .private)"") } let nsError = error as NSError persistenceErrorMessage = ""\(nsError.domain) \(nsError.code)：\(nsError.localizedDescription)"" throw err",docs/work-items/v9-frozen-inventory.md,來源分支已複核；故障注入或 GUI 呈現仍待相關驗收
V9-0062,合理例外,"領域 catch 在同一來源行明確顯示錯誤、拋出具名錯誤或 private 記錄；其資料結果依原領域契約保留，沒有共用 catch 外殼的必要。原語句：catch { Self.logger.error(""Reload after link registration rollback failed: \(String(describing: error), privacy: .private)"") }",docs/work-items/v9-frozen-inventory.md,來源已見明確錯誤出口；故障注入與 GUI 呈現尚待驗收
V9-0063,合理例外,"catch 明確向上拋出領域／原錯誤，保留呼叫端決策；此處是領域失敗處理，不宜僅為共用化抽成統一資料 action。來源分支：context.rollback() do { try reload() } catch { Self.logger.error(""Reload after legacy migration rollback failed: \(String(describing: error), privacy: .private)"") } throw error",docs/work-items/v9-frozen-inventory.md,來源分支已複核；故障注入或 GUI 呈現仍待相關驗收
V9-0064,合理例外,"領域 catch 在同一來源行明確顯示錯誤、拋出具名錯誤或 private 記錄；其資料結果依原領域契約保留，沒有共用 catch 外殼的必要。原語句：catch { Self.logger.error(""Reload after legacy migration rollback failed: \(String(describing: error), privacy: .private)"") }",docs/work-items/v9-frozen-inventory.md,來源已見明確錯誤出口；故障注入與 GUI 呈現尚待驗收
V9-0065,合理例外,"catch 明確向上拋出領域／原錯誤，保留呼叫端決策；此處是領域失敗處理，不宜僅為共用化抽成統一資料 action。來源分支：context.rollback() do { try reload() } catch { Self.logger.error(""Reload after reconciliation rollback failed: \(String(describing: error), privacy: .private)"") } throw error",docs/work-items/v9-frozen-inventory.md,來源分支已複核；故障注入或 GUI 呈現仍待相關驗收
V9-0066,合理例外,"領域 catch 在同一來源行明確顯示錯誤、拋出具名錯誤或 private 記錄；其資料結果依原領域契約保留，沒有共用 catch 外殼的必要。原語句：catch { Self.logger.error(""Reload after reconciliation rollback failed: \(String(describing: error), privacy: .private)"") }",docs/work-items/v9-frozen-inventory.md,來源已見明確錯誤出口；故障注入與 GUI 呈現尚待驗收
V9-0067,合理例外,"採系統材質／bar 背景，語意與固定表面色不同；保留平台呈現。 凍結來源：.background(.regularMaterial, in: shape)",docs/work-items/v9-frozen-inventory.md,來源色彩用途已分類；Light／Dark 與 hit-testing 待驗收
V9-0068,合理例外,"浮動 Inspector 面板的材質描邊，屬 AppTheme 整體面板層級。 來源：.overlay(shape.stroke(Color.secondary.opacity(0.14), lineWidth: 1))",docs/work-items/v9-frozen-inventory.md,來源色彩用途已分類；Light／Dark／hover 實際畫面待驗收
V9-0069,合理例外,畫面標題、欄位名稱或領域狀態的靜態文字；不是 Button／Menu 操作命令。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0070,已共用,來源已引用共用單行／搜尋欄位或位於其實作；原 Binding 與外層行為仍須依畫面核對。,docs/work-items/v9-frozen-inventory.md,來源分類已複核；具體 UI／資料驗收待完成
V9-0071,合理例外,畫面標題、欄位名稱或領域狀態的靜態文字；不是 Button／Menu 操作命令。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0072,合理例外,"來源以 SwiftUI 原生 Button 的標題參數承載文字或文字加圖標；保留原生角色／焦點／可用狀態，文案與圖標分別由固定 copy／symbol ID 審核，不為此控制另造相同 Button 外殼。來源：Button(""建立完整備份"", systemImage: ""externaldrive.badge.plus"") { createBackup() }",docs/work-items/v9-frozen-inventory.md,來源原生標題按鈕已核對；位置／實際 hit-test／鍵盤與 Light／Dark 待驗收
V9-0073,合理例外,目前固定清單中僅此處使用的領域文案「建立完整備份」；沒有同功能重複證據，保留具名畫面語境。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0074,合理例外,完整備份建立的外接磁碟新增圖標；與一般新增、匯出檔案及地圖匯入不同。 目前凍結清單沒有同一語意的第二個呼叫點，不為單一用途新增共用 key；若日後出現同義功能另版本再審。,docs/work-items/v9-frozen-inventory.md,來源語意已核對；實際字形／Light／Dark／VoiceOver 待驗收
V9-0075,合理例外,"來源以 SwiftUI 原生 Button 的標題參數承載文字或文字加圖標；保留原生角色／焦點／可用狀態，文案與圖標分別由固定 copy／symbol ID 審核，不為此控制另造相同 Button 外殼。來源：Button(""從備份還原"", systemImage: ""arrow.counterclockwise"") { scheduleRestore() }",docs/work-items/v9-frozen-inventory.md,來源原生標題按鈕已核對；位置／實際 hit-test／鍵盤與 Light／Dark 待驗收
V9-0076,合理例外,目前固定清單中僅此處使用的領域文案「從備份還原」；沒有同功能重複證據，保留具名畫面語境。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0077,合理例外,從備份還原的回轉箭頭；與編輯器復原按鈕的資料復位後果不同。 目前凍結清單沒有同一語意的第二個呼叫點，不為單一用途新增共用 key；若日後出現同義功能另版本再審。,docs/work-items/v9-frozen-inventory.md,來源語意已核對；實際字形／Light／Dark／VoiceOver 待驗收
V9-0078,合理例外,畫面標題、欄位名稱或領域狀態的靜態文字；不是 Button／Menu 操作命令。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0079,已共用,V9.1au 作者簡介兩處均改用 SailuneAuthorBioEditor；保留各自 100／110 pt、高度、6 pt 圓角描邊、原 Binding，設定頁 placeholder 原值保留。,docs/work-items/v9.1au-author-bio-editor.md,兩處來源、參數與無簽章 macOS Debug build、git diff --check 通過；GUI／CJK／首行待驗收
V9-0080,合理例外,畫面標題、欄位名稱或領域狀態的靜態文字；不是 Button／Menu 操作命令。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0081,合理例外,原生文字 Button；已使用 SailuneActionCopy 共用標題。保留 macOS 原生控制以承載此處 action；對應 button_style／copy ID 仍獨立審核，位置與實際命中須畫面驗收。凍結來源：Button(SailuneActionCopy.done) {,docs/work-items/v9-frozen-inventory.md,來源確認為文字 Button；位置／鍵盤焦點／實際命中及 Light／Dark 待驗收
V9-0082,已共用,已讀取 SailuneActionCopy 或位於其實作；原中文值由集中資源提供。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0083,合理例外,採 macOS 原生 .borderedProminent 樣式，保留平台語意；此例外只涵蓋 style，按鈕位置／命中與操作文案仍依對應 Button ID 驗收。,docs/work-items/v9-frozen-inventory.md,來源 style 已核對；實際 hit-test／Light／Dark 待驗收
V9-0084,合理例外,"領域錯誤／結果標題與狀態綁定由原畫面提供，確認按鈕已讀取 SailuneActionCopy.acknowledge，系統 .alert 提供共同呈現；保留領域內容與原 action。凍結來源：.alert(dataOperationFailed ? ""資料作業失敗"" : ""資料作業完成"", isPresented: Binding(",docs/work-items/v9-frozen-inventory.md,來源確認共用確認文案；實際錯誤呈現與鍵盤／VoiceOver 待驗收
V9-0085,合理例外,原生文字 Button；已使用 SailuneActionCopy 共用標題。保留 macOS 原生控制以承載此處 action；對應 button_style／copy ID 仍獨立審核，位置與實際命中須畫面驗收。凍結來源：Button(SailuneActionCopy.acknowledge) { dataOperationMessage = nil },docs/work-items/v9-frozen-inventory.md,來源確認為文字 Button；位置／鍵盤焦點／實際命中及 Light／Dark 待驗收
V9-0086,已共用,已讀取 SailuneActionCopy 或位於其實作；原中文值由集中資源提供。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0087,合理例外,作者頭像控制的系統強調色漸層，不是一般內容底色。 來源：.background(Color.accentColor.gradient) // 使用系統強調色,docs/work-items/v9-frozen-inventory.md,來源色彩用途已分類；Light／Dark／hover 實際畫面待驗收
V9-0088,合理例外,畫面標題、欄位名稱或領域狀態的靜態文字；不是 Button／Menu 操作命令。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0089,合理例外,catch 明確設定錯誤呈現／狀態，保留領域提示；此處是領域失敗處理，不宜僅為共用化抽成統一資料 action。來源分支：dataOperationFailed = true dataOperationMessage = error.localizedDescription,docs/work-items/v9-frozen-inventory.md,來源分支已複核；故障注入或 GUI 呈現仍待相關驗收
V9-0090,合理例外,catch 明確設定錯誤呈現／狀態，保留領域提示；此處是領域失敗處理，不宜僅為共用化抽成統一資料 action。來源分支：dataOperationFailed = true dataOperationMessage = error.localizedDescription,docs/work-items/v9-frozen-inventory.md,來源分支已複核；故障注入或 GUI 呈現仍待相關驗收
V9-0091,合理例外,"原生文字 Button；領域字面標題另由 copy 家族核對是否同功能。保留 macOS 原生控制以承載此處 action；對應 button_style／copy ID 仍獨立審核，位置與實際命中須畫面驗收。凍結來源：Button(""不選擇"") {",docs/work-items/v9-frozen-inventory.md,來源確認為文字 Button；位置／鍵盤焦點／實際命中及 Light／Dark 待驗收
V9-0092,已共用,V9.1ao 已依凍結 ID 將原操作標題接至 SailuneActionCopy，原繁體中文值、closure、role、style 及圖標不變；現行來源：Button(SailuneActionCopy.clearSelection) {,docs/work-items/v9.1ao-repeated-action-copy.md,65 個固定 ID 靜態核對、String Catalog JSON 及主機無簽章 Debug build 通過；GUI／VoiceOver 待驗收
V9-0093,合理例外,"原生文字 Button；領域字面標題另由 copy 家族核對是否同功能。保留 macOS 原生控制以承載此處 action；對應 button_style／copy ID 仍獨立審核，位置與實際命中須畫面驗收。凍結來源：Button(""選擇\(displayedPreset.title)"") {",docs/work-items/v9-frozen-inventory.md,來源確認為文字 Button；位置／鍵盤焦點／實際命中及 Light／Dark 待驗收
V9-0094,已共用,V9.1ao 已依凍結 ID 將原操作標題接至 SailuneActionCopy，原繁體中文值、closure、role、style 及圖標不變；現行來源：Button(SailuneActionCopy.selectPreset(displayedPreset.title)) {,docs/work-items/v9.1ao-repeated-action-copy.md,65 個固定 ID 靜態核對、String Catalog JSON 及主機無簽章 Debug build 通過；GUI／VoiceOver 待驗收
V9-0095,合理例外,採 macOS 原生 .borderedProminent 樣式，保留平台語意；此例外只涵蓋 style，按鈕位置／命中與操作文案仍依對應 Button ID 驗收。,docs/work-items/v9-frozen-inventory.md,來源 style 已核對；實際 hit-test／Light／Dark 待驗收
